"idEquipement","element","disponible","service","panne","obsolete","nonService","reparation"
"164","Tensiomètre + stéthoscope bébé","","","","","",""
"165","Visionneuse de veines","","","","","",""
"166","Autoclave de paillasse","","","","","",""
"167","Accessoires des autoclaves (A0016954 SVF95-5000VA Régulateur de tension, A0016911 AQUA Distillateur d'eau, débit 4 l)","","","","","",""
"168","Accessoires Autoclaves (A0016910 Bowie-Dick paquet de test)","","","","","",""
"169","Aspirateur de mucosités","","","","","",""
"170","Attelles (membre inférieur et membre supérieur)","","","","","",""
"171","A0017106 Bandage pour le genou Taille XL
A0017105 Bandage de genou Taille L","","","","","",""
"172","Bock à lavement","","","","","",""
"173","Glacière isotherme","","","","","",""
"174","Insufflateur manuel pour bébé","","","","","",""
"175","Kit d’Aspiration Manuelle Intra-utérine","","","","","",""
"176","Kit DIU (Boite de 10 unités)","","","","","",""
"177","Kit implant","","","","","",""
"178","Matériel de démonstration procédures gynécologiques","","","","","",""
"179","Porte vaccin","","","","","",""
"180","Boîte à instruments","","","","","",""
"181","Boîte de petite chirurgie","","","","","",""
"182","Boîte de pansement","","","","","",""
"183","Boîte d’accouchement basique","","","","","",""
"184","Ciseaux de Busch pour cordon ombilical 13cm","","","","","",""
"185","Boîte d’épisiotomie","","","","","",""
"186","Set d'épisiotomie : Pince Faure, courbée, 25 cm","","","","","",""
"187","Jeu de spéculums vaginal","","","","","",""
"188","Automate d'immunologie Cobas au Vidas","","","","","",""
"189","Centrifugeuse de paillasse","","","","","",""
"190","Colonne d'endoscopie digestive","","","","","",""
"191","Echographe doppler sur chariot (Multifonctions) cardiaque + 04 sondes + 01 imprimante","","","","","",""
"192","Fauteuil de prélèvement","","","","","",""
"193","Glucomètre + bandelettes","","","","","",""
"194","Lit d’hospitalisation avec matelas et table de chevet","","","","","",""
"195","Microscope optique binoculaire","","","","","",""
"196","Moniteur de surveillances multiparamétriques à 05 paramètres + accesoires standards","","","","","",""
"197","Poste d’oxygénothérapie mobile","","","","","",""
"198","Potence + panier","","","","","",""
"199","Réfrigérateur à 2 compartiments","","","","","",""
"200","Réfrigérateur de laboratoire","","","","","",""
"201","Système CPAP pour bébé nouveau-né YSAV200D (baby CPAP)","","","","","",""
"202","Table d’accouchement","","","","","",""
"203","Table d’examen","","","","","",""
"204","Table de soins","","","","","",""
